# technique: ADT
# step_index: 1
# timestamp: 2026-03-23T21:06:24.443036
# data_points: 2500
# param_seg_num: 1
# param_sample_interval_ms: 100
# param_elapsed_time: 48.5s
# param_ir_compensation_enabled: False
# param_ir_compensation_ohm: 0
Time/sec,Current/A,cycle
3.1799999999999997,-1.043e-07,1
3.19,-1.001e-07,1
3.1999999999999997,-9.594e-08,1
3.21,-9.698e-08,1
3.2199999999999998,-1.033e-07,1
3.23,-9.489e-08,1
3.2399999999999998,-9.594e-08,1
3.25,-8.965e-08,1
3.26,-8.44e-08,1
3.2699999999999996,-7.916e-08,1
3.28,-8.965e-08,1
3.29,-8.336e-08,1
3.3,-7.078e-08,1
3.3099999999999996,-7.707e-08,1
3.32,-9.174e-08,1
3.3299999999999996,-7.811e-08,1
3.34,-6.449e-08,1
3.3499999999999996,-6.763e-08,1
3.36,-7.392e-08,1
3.3699999999999997,-7.392e-08,1
3.38,-7.078e-08,1
3.3899999999999997,-5.924e-08,1
3.4,-6.134e-08,1
3.4099999999999997,-5.82e-08,1
3.42,-6.763e-08,1
3.4299999999999997,-6.763e-08,1
3.44,-6.658e-08,1
3.4499999999999997,-6.658e-08,1
3.46,-6.973e-08,1
3.4699999999999998,-5.82e-08,1
3.4799999999999995,-5.61e-08,1
3.4899999999999998,-6.344e-08,1
3.5,-6.449e-08,1
3.51,-6.449e-08,1
3.5199999999999996,-6.973e-08,1
3.53,-4.981e-08,1
3.54,-5.295e-08,1
3.55,-4.562e-08,1
3.5599999999999996,-4.562e-08,1
3.57,-5.4e-08,1
3.5799999999999996,-6.134e-08,1
3.59,-4.876e-08,1
3.5999999999999996,-5.4e-08,1
3.61,-4.876e-08,1
3.6199999999999997,-4.142e-08,1
3.63,-4.037e-08,1
3.6399999999999997,-3.933e-08,1
3.65,-4.666e-08,1
3.6599999999999997,-3.723e-08,1
3.67,-3.723e-08,1
3.6799999999999997,-3.408e-08,1
3.69,-3.933e-08,1
3.6999999999999997,-4.247e-08,1
3.71,-4.037e-08,1
3.7199999999999998,-4.666e-08,1
3.7299999999999995,-4.037e-08,1
3.7399999999999998,-3.723e-08,1
3.75,-4.352e-08,1
3.76,-4.037e-08,1
3.7699999999999996,-3.933e-08,1
3.78,-4.247e-08,1
3.79,-4.142e-08,1
3.8,-4.562e-08,1
3.8099999999999996,-4.142e-08,1
3.82,-4.666e-08,1
3.8299999999999996,-4.666e-08,1
3.84,-3.513e-08,1
3.8499999999999996,-3.933e-08,1
3.86,-3.933e-08,1
3.8699999999999997,-4.247e-08,1
3.88,-4.037e-08,1
3.8899999999999997,-3.618e-08,1
3.9,-3.723e-08,1
3.9099999999999997,-2.36e-08,1
3.92,-2.046e-08,1
3.9299999999999997,-3.513e-08,1
3.94,-4.037e-08,1
3.9499999999999997,-3.618e-08,1
3.96,-2.884e-08,1
3.9699999999999998,-4.247e-08,1
3.9799999999999995,-4.562e-08,1
3.9899999999999998,-3.828e-08,1
4.0,-3.199e-08,1
4.01,-4.666e-08,1
4.02,-4.562e-08,1
4.029999999999999,-3.618e-08,1
4.04,-3.199e-08,1
4.05,-3.618e-08,1
4.06,-2.989e-08,1
4.07,-3.513e-08,1
4.08,-3.094e-08,1
4.09,-3.094e-08,1
4.1,-2.675e-08,1
4.109999999999999,-2.675e-08,1
4.12,-1.941e-08,1
4.13,-2.989e-08,1
4.14,-3.408e-08,1
4.1499999999999995,-2.884e-08,1
4.16,-2.989e-08,1
4.17,-3.513e-08,1
4.18,-3.513e-08,1
4.1899999999999995,-3.618e-08,1
4.199999999999999,-4.457e-08,1
4.21,-3.304e-08,1
4.22,-3.304e-08,1
4.2299999999999995,-3.828e-08,1
4.24,-3.513e-08,1
4.25,-4.562e-08,1
4.26,-4.142e-08,1
4.27,-4.037e-08,1
4.279999999999999,-5.086e-08,1
4.29,-3.618e-08,1
4.3,-4.142e-08,1
4.31,-3.933e-08,1
4.32,-3.513e-08,1
4.33,-3.723e-08,1
4.34,-3.618e-08,1
4.35,-4.981e-08,1
4.359999999999999,-4.352e-08,1
4.37,-3.828e-08,1
4.38,-4.666e-08,1
4.39,-3.723e-08,1
4.3999999999999995,-4.037e-08,1
4.41,-3.933e-08,1
4.42,-3.513e-08,1
4.43,-2.36e-08,1
4.4399999999999995,-2.779e-08,1
4.449999999999999,-2.255e-08,1
4.46,-2.57e-08,1
4.47,-2.36e-08,1
4.4799999999999995,-2.046e-08,1
4.49,-1.521e-08,1
4.5,-1.731e-08,1
4.51,-2.989e-08,1
4.52,-2.884e-08,1
4.529999999999999,-2.675e-08,1
4.54,-2.675e-08,1
4.55,-2.046e-08,1
4.56,-2.046e-08,1
4.57,-3.199e-08,1
4.58,-3.094e-08,1
4.59,-3.199e-08,1
4.6,-2.989e-08,1
4.609999999999999,-2.779e-08,1
4.62,-3.723e-08,1
4.63,-3.094e-08,1
4.64,-3.933e-08,1
4.6499999999999995,-2.675e-08,1
4.66,-2.884e-08,1
4.67,-3.408e-08,1
4.68,-3.094e-08,1
4.6899999999999995,-3.094e-08,1
4.699999999999999,-2.884e-08,1
4.71,-2.675e-08,1
4.72,-1.836e-08,1
4.7299999999999995,-1.941e-08,1
4.74,-1.417e-08,1
4.75,-1.941e-08,1
4.76,-2.046e-08,1
4.77,-2.465e-08,1
4.779999999999999,-1.836e-08,1
4.79,-3.094e-08,1
4.8,-2.465e-08,1
4.81,-2.046e-08,1
4.82,-1.521e-08,1
4.83,-1.731e-08,1
4.84,-1.521e-08,1
4.85,-2.36e-08,1
4.859999999999999,-1.626e-08,1
4.87,-5.779e-09,1
4.88,-1.417e-08,1
4.89,-1.417e-08,1
4.8999999999999995,-7.876e-09,1
4.91,-1.417e-08,1
4.92,-1.941e-08,1
4.93,-3.094e-08,1
4.9399999999999995,-3.513e-08,1
4.949999999999999,-2.36e-08,1
4.96,-2.36e-08,1
4.97,-2.57e-08,1
4.9799999999999995,-2.884e-08,1
4.99,-2.046e-08,1
5.0,-1.521e-08,1
5.01,-2.675e-08,1
5.029999999999999,3.687,2
5.039999999999999,3.687,2
5.05,3.687,2
5.06,3.687,2
5.069999999999999,3.687,2
5.079999999999999,3.687,2
5.09,3.687,2
5.1,3.687,2
5.109999999999999,3.687,2
5.119999999999999,3.687,2
5.13,3.687,2
5.14,3.687,2
5.1499999999999995,3.687,2
5.159999999999999,3.687,2
5.17,3.687,2
5.18,3.687,2
5.1899999999999995,3.687,2
5.199999999999999,3.687,2
5.21,3.687,2
5.22,3.687,2
5.2299999999999995,3.687,2
5.239999999999999,3.687,2
5.25,3.687,2
5.26,3.687,2
5.27,3.687,2
5.279999999999999,3.687,2
5.289999999999999,3.687,2
5.3,3.687,2
5.31,3.687,2
5.319999999999999,3.687,2
5.329999999999999,3.687,2
5.34,3.687,2
5.35,3.687,2
